"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	4.4036776175223	0.00385813293509606	1141.40121442255	0
"IDHonda_Civic"	-0.0498918444373753	0.00502815479890874	-9.92249571317958	4.1076182319941e-23
"IDHonda_CR-V"	0.0720013820387172	0.00520783110071381	13.8255985354149	3.92279748300596e-43
"IDHonda_CR-Z"	-0.0828357308789479	0.0286728495214156	-2.88899541767128	0.00387189940577499
"IDHonda_Crosstour"	0.0602120391103301	0.0286728495214129	2.09996704601556	0.0357532714806237
"IDHonda_Element"	0.0668758341678362	0.0252792235524678	2.64548608579822	0.00816835814804508
"IDHonda_Fit"	-0.0974254715789246	0.0126465857847026	-7.70369752259707	1.42928777882809e-14
"IDHonda_HR-V"	0.00432388414054928	0.0133583404602491	0.323684229595438	0.746182944332766
"IDHonda_Insight"	-0.188291394637949	0.0320131393890116	-5.88169102536002	4.17293683057295e-09
"IDHonda_Odyssey"	0.103595333051571	0.00766903185855015	13.5082674009332	2.864749299248e-41
"IDHonda_Passport"	0.357742353000502	0.0901004487149338	3.97048358918114	7.2159539037423e-05
"IDHonda_Pilot"	0.1598018145324	0.00856288627937627	18.6621437350258	1.32335006391678e-76
"IDHonda_Ridgeline"	0.20670390852464	0.0187218189454903	11.0408026659413	3.35475604231095e-28
"IDHonda_S2000"	0.508444190970022	0.0369997681390197	13.7418210043814	1.22912443377228e-42
"IDHyundai_Accent"	-0.236041633478593	0.00933416453790908	-25.2879229330007	2.18664837175625e-137
"IDHyundai_Azera"	0.0291250523177221	0.0187086394503219	1.55677019673502	0.11955232422791
"IDHyundai_Elantra"	-0.155085109776558	0.00562785565026877	-27.5566964424809	5.6240921721413e-162
"IDHyundai_Entourage"	0.225084207147032	0.090053394143575	2.49945278895511	0.0124522286645283
"IDHyundai_Equus"	0.182341476606029	0.0320082103010552	5.69670952830554	1.25111693105198e-08
"IDHyundai_Genesis"	0.104343989683136	0.00858111849593239	12.1597190077957	8.17638450427612e-34
"IDHyundai_Ioniq"	0.0614013467653851	0.0520718401706319	1.17916606296574	0.23835623071552
"IDHyundai_Kona"	-0.0484304073542506	0.0637258403320367	-0.759980678197559	0.447281572816469
"IDHyundai_Santa"	0.0275045666268901	0.00597820521716545	4.60080670163599	4.25315531268629e-06
"IDHyundai_Sonata"	-0.0787037841845731	0.0054167264099423	-14.5297691314285	2.04493490567348e-47
"IDHyundai_Tiburon"	-0.236327429933236	0.090053394143559	-2.62430341666516	0.00869401071339604
"IDHyundai_Tucson"	-0.0059521056454114	0.00736289226541649	-0.808392331552703	0.418881335992625
"IDHyundai_Veloster"	-0.125482512620635	0.0105057008404775	-11.9442305207438	1.08161685637249e-32
"IDHyundai_Veracruz"	0.0884916179681167	0.0451361829135545	1.96054722078731	0.049955750707362
"IDHyundai_XG350"	-0.19224291304742	0.0900732582879289	-2.13429509158972	0.0328395291183254
"IDKia_Amanti"	-0.199532146977517	0.0637681659431318	-3.12902439683555	0.0017582221138637
"IDKia_Borrego"	-0.0276772872621414	0.063727148107562	-0.434309208619006	0.664071992166551
"IDKia_Cadenza"	0.0739007582030204	0.0165553081350589	4.46387089869513	8.12511453942373e-06
"IDKia_Forte"	-0.166084563908394	0.00785791356540709	-21.1359621769764	2.50450592824783e-97
"IDKia_K900"	0.167993181543951	0.0215078124418327	7.81079814594273	6.17142930708483e-15
"IDKia_Niro"	-0.040865536928043	0.0404060634750084	-1.01137139858523	0.311859790834214
"IDKia_Optima"	-0.0521324011988295	0.00635571705392297	-8.20244210944721	2.60328023628192e-16
"IDKia_Rio"	-0.239189244478	0.0163003690281107	-14.6738545652254	2.56613532307831e-48
"IDKia_Rio5"	-0.335783379809984	0.0900592011575587	-3.72847388711044	0.000193559116781546
"IDKia_Rondo"	-0.285291312514213	0.0900484017144041	-3.1681996246756	0.00153783924348012
"IDKia_Sedona"	0.00334244676346579	0.0112647052351969	0.296718528685705	0.766686720017799
"IDKia_Sorento"	0.0182325202534958	0.00624693726964096	2.91863347853718	0.00352244536939687
"IDKia_Soul"	-0.127785838368475	0.0067004993154122	-19.0710919221419	7.27001379585643e-80
"IDKia_Spectra"	-0.422099159117722	0.0520888429908512	-8.10344662852001	5.87680339916922e-16
"IDKia_Spectra5"	-0.0869960471935594	0.0900484017144085	-0.966103179370915	0.33401268571095
"IDKia_Sportage"	-0.0230397143428568	0.00794409707388625	-2.90023071578427	0.00373587967496966
"IDKia_Stinger"	0.162571919486133	0.0637258403320561	2.55111456575574	0.0107506186973201
"IDNissan_350Z"	0.215976163422611	0.0287289162560195	7.51772748745294	5.98374463023392e-14
"IDNissan_370Z"	0.209449796084355	0.0190983074843508	10.9669297269393	7.54896465873053e-28
"IDNissan_Altima"	-0.103141372474471	0.00511833523393125	-20.1513515157645	8.57472245907501e-89
"IDNissan_Armada"	0.202522423572783	0.0130959259200115	15.4645364374972	2.05070926843459e-53
"IDNissan_Cube"	-0.101401983477394	0.0320145011233155	-3.16737665493543	0.00154219457977055
"IDNissan_Frontier"	0.111259136219597	0.00868952308332469	12.8038253829034	2.78903672407276e-37
"IDNissan_GT-R"	0.795344441355305	0.0520649966801087	15.2759913967144	3.55263061161046e-52
"IDNissan_Juke"	-0.0317590439788073	0.0111896060437561	-2.8382629249516	0.00454385268289352
"IDNissan_Leaf"	-0.109041662643959	0.0148445071678851	-7.34558994857448	2.18573288786728e-13
"IDNissan_Maxima"	0.0373056944377424	0.00845088155096022	4.41441454513152	1.02198893855747e-05
"IDNissan_Murano"	0.0859290250583212	0.00821815379930308	10.4560010869605	1.78476129465671e-25
"IDNissan_NV"	0.0692454190190954	0.0252103165818992	2.7467096176338	0.00602892240554061
"IDNissan_NV200"	-0.0633539719998804	0.018004133062909	-3.51885713011077	0.000435069267646587
"IDNissan_Pathfinder"	0.0927922240774233	0.00808402369211383	11.4784700801835	2.46694957716629e-30
"IDNissan_Quest"	-0.0353849758158107	0.0163004238185305	-2.17080096871988	0.0299664242669205
"IDNissan_Rogue"	-0.00966801635940724	0.00537439216584309	-1.79890414786852	0.0720598164792185
"IDNissan_Sentra"	-0.148306760332289	0.00636614270915964	-23.2961727544852	2.3336484901799e-117
"IDNissan_Titan"	0.19801404216666	0.0108000556743222	18.3345390188544	4.84843182224825e-74
"IDNissan_Versa"	-0.242306492708045	0.00766324609407521	-31.6193020207693	1.46888062306047e-210
"IDNissan_Xterra"	0.0962098600071155	0.0148922649912747	6.46039135507491	1.08609014420556e-10
"IDSubaru_Baja"	0.305423993637486	0.0637528418155961	4.79075104637562	1.68215354965995e-06
"IDSubaru_BRZ"	0.100237936869743	0.027360373522686	3.66361726701685	0.000249785529966259
"IDSubaru_Crosstrek"	0.0730483790825391	0.0148667344398308	4.91354570017937	9.06651994456243e-07
"IDSubaru_Forester"	0.0676745848303557	0.00764839076066085	8.84821225118844	1.01765518831582e-18
"IDSubaru_Impreza"	0.0489487571828317	0.00747127194834164	6.55159623706331	5.93326652282855e-11
"IDSubaru_Legacy"	-0.000301835783880812	0.00925955176377433	-0.032597234896582	0.973996335478104
"IDSubaru_Outback"	0.104896116620648	0.00692543827051861	15.1464950698049	2.47111912749009e-51
"IDSubaru_Tribeca"	0.13619713605039	0.0342397537160941	3.97774870636326	6.99933957220914e-05
"IDSubaru_WRX"	0.169043864345132	0.0115768100146917	14.6019381963256	7.24854119440491e-48
"IDSubaru_XV"	0.094198195661859	0.0136017723570045	6.92543539102461	4.57589524216148e-12
"IDToyota_4Runner"	0.299028307397869	0.00809527460617036	36.9386243142319	1.70628311838385e-282
"IDToyota_86"	-0.0453222409936247	0.0637213791625053	-0.711256435270206	0.476939637783129
"IDToyota_Avalon"	0.0986616423354932	0.0122488769909294	8.0547500320686	8.74130057237606e-16
"IDToyota_C-HR"	-0.0836378919613519	0.0637258403320566	-1.31246432413507	0.189389471923169
"IDToyota_Camry"	-0.0383113914304671	0.00518132484369498	-7.39413037904528	1.52127472740154e-13
"IDToyota_Celica"	0.164264855496393	0.0521589934071224	3.14931030616787	0.00164071474384193
"IDToyota_Corolla"	-0.122468890554656	0.00504757489069324	-24.2629169862273	6.78300162224258e-127
"IDToyota_Echo"	-0.128219914055009	0.0637994494957182	-2.00973386241544	0.0444824673274469
"IDToyota_FJ"	0.288668282290295	0.0209720416772586	13.764433941752	9.03653045339861e-43
"IDToyota_Highlander"	0.212022202254634	0.00791584465452834	26.7845329851622	2.12881157928352e-153
"IDToyota_Land"	0.56099745100019	0.0520714598082041	10.773607136549	6.14984743789691e-27
"IDToyota_Matrix"	-0.0751275084927639	0.0287104382970594	-2.61673150773385	0.0088891210853624
"IDToyota_Prius"	0.00202647266452436	0.00821304229522958	0.246738369495724	0.80511507413903
"IDToyota_RAV4"	0.0749451249475937	0.00605362254258868	12.3802110918441	5.55971359267959e-35
"IDToyota_Sequoia"	0.287749549402919	0.0165894497813647	17.3453341247131	1.47339965610876e-66
"IDToyota_Sienna"	0.097261911539826	0.00893260977845558	10.8884093173319	1.77735764311228e-27
"IDToyota_Solara"	0.00218721441100326	0.0244075417263242	0.0896122368867771	0.928596906323492
"IDToyota_Tacoma"	0.258631536896989	0.00704940865121977	36.6884017785289	6.55978991925764e-279
"IDToyota_Tundra"	0.331864652148739	0.00817329652214059	40.603525303377	0
